INCA ID,Dimensions Researcher ID,Additional Researcher DIM ID to combine,Additional Researcher DIM ID to combine 2,prenom_port,nom_port,URL 1,URL 2,URL 3
inca_930,ur.01047664462.84,,,Pierre,NEVOUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01047664462.84,,
inca_931,ur.01101537744.62,,,Jean-Michel,NGUYEN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01101537744.62,,
inca_933,ur.01076274701.00,,,Philippe,NICKERS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01076274701.00,,
inca_934,ur.0776642617.31,,,Estelle,NICOLAS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0776642617.31,,
inca_935,ur.01112633072.33,,,Claude,NOS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01112633072.33,,
inca_937,ur.0622550070.07,,,Daniel,OLIVE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0622550070.07,,
inca_941,ur.0647310241.05,ur.016561470427.17,,Jean-Michel,OPPERT,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0647310241.05,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.016561470427.17,
inca_942,ur.0721263151.93,,,Attila,ORAVECZ,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0721263151.93,,
inca_943,ur.0632662625.83,,,Gertraud,OREND,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0632662625.83,,
inca_945,ur.01171554410.57,,,Nicolas,ORTONNE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01171554410.57,,
inca_947,ur.01340775442.33,,,L'houcine,OUAFIK,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01340775442.33,,
inca_948,ur.01073375756.64,,,Stéphane,OUDARD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01073375756.64,,
